,date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,FTR
364,2020-09-20,Southampton,Spurs,2,5,A
365,2020-09-20,Newcastle,Brighton,0,3,A
366,2020-09-20,Chelsea,Liverpool,0,2,A
367,2020-09-20,Leicester,Burnley,4,2,H
368,2020-09-19,Everton,West Brom,5,2,H
369,2020-09-19,Leeds,Fulham,4,3,H
370,2020-09-19,Man Utd,Crystal Palace,1,3,A
371,2020-09-19,Arsenal,West Ham,2,1,H
372,2020-09-14,Sheffield Utd,Wolves,0,2,A
373,2020-09-14,Brighton,Chelsea,1,3,A
374,2020-09-13,West Brom,Leicester,0,3,A
375,2020-09-13,Spurs,Everton,0,1,A
376,2020-09-12,Fulham,Arsenal,0,3,A
377,2020-09-12,Crystal Palace,Southampton,1,0,H
378,2020-09-12,Liverpool,Leeds,4,3,H
379,2020-09-12,West Ham,Newcastle,0,2,A
